ANO,QTD DE FILMES
1928,25
1929,27
1930,26
1931,22
1932,27
1933,28
1935,32
1936,47
1937,53
1938,57
1939,57
1940,54
1941,68
1942,100
1943,97
1944,100
1945,84
1946,84
1947,55
1948,61
1949,53
1950,59
1951,56
1952,56
1953,59
1954,66
1955,53
1956,56
1957,58
1958,45
1959,51
1960,47
1961,53
1962,54
1963,53
1964,55
1965,58
1966,52
1967,51
1968,47
1969,48
1970,43
1971,47
1972,48
1973,47
1974,46
1975,48
1976,54
1977,47
1978,49
1979,46
1980,53
1981,48
1982,41
1983,47
1984,45
1985,51
1986,47
1987,50
1988,54
1989,53
1990,50
1991,50
1992,43
1993,53
1994,50
1995,55
1996,55
1997,62
1998,51
1999,51
2000,56
2001,51
2002,49
2003,50
2004,49
2005,53
2006,53
2007,57
2008,58
2009,50
2010,57
2011,53
2012,61
2013,52
2014,56
2015,60
2016,56
2017,61
2018,58
2019,50
2020,50
2021,53
2022,51
2023,54
2024,50
2025,50
